"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"1","T4219","M0995","M0967",423154.6,4686262,422870.9269,4686251.394,423105.9094,4686266.499,283.871299887076,48.8980115071754,"W","Y","Y","0.5","0","0.5","2.5","1","2.5",2015,2012,2012,"0.013347","0.001000","23.328822","0.999897","0.999897","C_Se_Se","0","0","68","7","0","2","1","0","0","0","---"
"2","T7008","S6117","M1725",423176.8,4686888,423174.0979,4686888.548,423178.6811,4686888.962,2.75710870486278,2.11281357685768,"FO","Y","Y","3.5","2.5","0.5","2.5","0.5","2.5",2015,2014,2012,"0.010507","0.001000","23.278701","0.999892","0.999892","C_Se_Se","0","0","69","8","1","0","1","0","0","0","---"
"3","T2528","M0708","M1239",423279.8,4686899,423283.3,4686899,423287.7,4686899,3.5,7.90000000002328,"WR","WO","W","1.5","0.5","1.5","2.5","0.5","1",2015,2012,2012,"0.000000","0.000000","22.755714","0.999818","0.999818","C_Se_Se","0","0","8","2","0","0","0","0","0","0","---"
"4","T6706","S3255","P3519",423382.9,4686928,423347.0266,4687557.785,423383.9052,4686929.386,630.805871130533,1.71213990075175,"Y","Y","Y","0.5","2.5","0.5","2.5","0.5","2.5",2015,2014,2013,"0.010893","0.001000","22.780213","0.999822","0.999822","C_Se_Se","0","0","43","3","0","2","0","0","0","0","---"
"5","T6748","P3543","P3469",423422.5,4686936,423295.3817,4686919.359,423422.6776,4686936.27,128.202905879225,0.323174503568862,"W","W","Y","0.5","0.5","0.5","0.5","0.5","2.5",2015,2013,2013,"0.000000","0.000000","23.782161","0.999935","0.999935","C_Se_Se","0","0","26","3","0","0","1","0","0","0","---"
"6","T6760","P1463","P3469",423423.3,4686937,423184.8541,4686888.38,423422.6776,4686936.27,243.352319953636,0.959313171307399,"-9","Y","Y","-9","-9","0.5","2.5","0.5","2.5",2015,2013,2013,"0.042735","0.006000","22.385074","0.999736","0.999736","C_Se_Se","0","0","6","5","1","1","1","0","0","0","---"
"7","T0293","P1168","P0178",423485.3,4685905,423491.3908,4685911.56,423506.6935,4685906.015,8.95161687264873,21.4175644565286,"FO","Y","FO","3","2.5","0.5","2.5","3","2",2015,2013,2013,"0.012771","0.001000","22.248243","0.999697","0.999697","C_Se_Se","0","0","79","120","0","2","3","0","0","0","---"
"8","T6707","J1218","J1002",423506.5,4687306,423522.3137,4687290.838,423527.839,4687307.912,21.9079746137378,21.4244875083939,"Y","-9","Y","0.5","2.5","-9","-9","0.2","2.5",2015,2009,2009,"0.000000","0.000000","25.661472","0.999990","0.999990","C_Se_Se","0","0","7","1","0","0","0","0","0","0","---"
"9","T03121","L0259","K1719",423508.7,4685928,423566.0198,4685944.138,423963.8706,4686088.494,59.5482536775712,482.637129881606,"-9","-9","-9","-9","-9","-9","-9","-9","-9",2015,2011,2010,"0.000000","0.000000","21.920682","0.999580","0.999580","C_Se_Se","0","0","108","12","0","0","0","0","0","0","---"
"10","T0281","P0192","P0247",423510,4685923,423521.4608,4685923.657,423562.6243,4685918.312,11.4796160928651,52.8327009956277,"WR","FO","WR","2.5","1","3","2","2.5","1",2015,2013,2013,"0.000000","0.000000","22.165733","0.999671","0.999671","C_Se_Se","0","0","36","4","0","0","1","0","0","0","---"
"11","T0160","L1262","L0829",423510.6,4685922,423492.5686,4685895.015,423520.8678,4685921.118,32.4549165917477,10.3056121041406,"-9","FO","Y","-9","-9","3.5","2","1","2.5",2015,2011,2011,"0.037037","0.005000","20.720955","0.998606","0.998606","C_Se_Se","0","0","11","5","1","0","0","0","0","0","---"
